HelyreigazitasID;SajtotermekID;CikkCim;CikkURL;CikkDatum;CikkIdo;HelyreigazitasSzoveg;HelyreigazitasURL;HelyreigazitasDatum;HelyreigazitasIdo;HelyreigazitasJelolve
370;14;Előre tudták a Soros-médiumok, kit kell filmezni, hol a provokátor;https://www.origo.hu/itthon/20170722-elore-tudtak-a-soros-mediumok-hol-a-provokator.html;2017/07/22;14:37;Az Index által közzétett - Tusnádfürdőn a miniszterelnök beszédét fütyüléssel megzavarni akaró nő földre rántásáról és kivezetéséről készült - videofelvétel kapcsán a cikkben valótlanul állítottuk, hogy az Index előre tudta kit kell filmezni, hol a provokátor, valótlanul állítottuk, hogy az Indexnek a videofelvételen rögzítettekhez bármilyen köze volt. ;;2017/10/27;;1
371;14;Mindenszentek napján muszlim szent helyeket látogat Vona Gábor;https://www.origo.hu/itthon/20181101-mindenszentek-napjan-iszlam-szent-helyeket-latogat-vona-gabor.html;2018/11/01;15:05;"A portálunkon 2018. november 1-én ""Mindenszentek napján muszlim szent helyeket látogat Vona Gábor"" címmel megjelent cikkben valótlanul híreszteltük, hogy 2018-ban mindenszentek napján és halottak napján a feleségével a muszlim politikai elvbarátait és az iszlám szent helyeit látogatta meg Vona Gábor Isztambulban, ahol ezeket a napokat miuszlim barátai körében töltötte.

Valótlanul állítottuk, hogy Vona Gábor Isztambul egyik luxusszállodájában szállt meg, és onnan jelentkezett be a Facebookon egy poszttal.

Valótlanul állítottuk, hogy Vona Gábor a halottak napi hosszú hétvégén Isztambulban a muszlim kapcsolatait biztosította be, ott politikai tárgyalásokat folytatott, és találkozott a török kapcsolataival, köztük Musa Serdar Celebivel, és azt is, hogy Musa Serdar Celebi Vona Gábor muszlim kapcsolatrendszerét irányítja, szervezi.";;2018/11/16;15:07;1
372;3;Mi sem tépkedjük le az ellenzéki plakátokat, eddig ez itt nem volt szokás;https://alfahir.hu/2018/03/25/vago_sebestyen_jobbik_erd;2018/03/25;14:19;Cikkünkben valótlanul közöltük, hogy Érd város aljegyzője, aki egyben a választási iroda tagja telefonon felhívta Vágó Sebestyént, a Jobbik Magyarországért Mozgalom egyéni jelöltjét az Érd város területén történt plakátok letépésének ügyében, ilyen telefonhívás ugyanis sem ebben az ügyben, sem más ügyben nem történt. Ezzel összefüggésben alaptalanul vontuk kétségbe Érd Megyei Jogú Város köztisztviselőjének pártfüggetlenségét.;;;;1
373;3;Kubatov egykori „problémamegoldója” szerint nem véletlen, hogy a Fidesz egyik riválisának méhészete leégett ;https://alfahir.hu/2018/03/23/szoke_kubatov_gabor_fidesz_ferencvaros_batonyterenye_privatkopo;2018/03/23;09:58;"Az alfahir.hu portálon 2018.03.23-án ""Kubatov egykori ""problémamegoldója"" szerint nem véletlen, hogy a Fidesz egyik riválisának méhészete leégett"" címmel közzétett
cikkünkben

 - valótlanul állítottuk, hogy Kubatov Gábor Szabó Ferenctől átvett volna Horváth Tibor által összeállított dossziét és ezt követően felhívta volna Nagy-Majdon Józsefet, hogy azonnal induljon Budapestre.

 - Kubatov Gábor soha nem vett részt olyan megbeszélésen, amelyen Szabó Ferenc és Nagy-Majdon József együtt lett volna jelen, nem adott át semmilyen dossziét Nagy-Majdon polgármesternek és nem tett olyan megjegyzést, hogy ""kezelni fogiuk a problémát.""

A fenti cikkel kapcsolatosan Kubatov Gábor jogi képviselője annak közlését kérte továbbá, hogy Kubatov Gábor soha nem fogyasztott kábítószert.

A privatkopo.hu-n közzétett cikkben Szabó Ferenc által - minden alapot nélkülözően - előadottakkal kapcsolatosan Kubatov Gábor jogi képviselője annak közlését kérte továbbá, hogy Kubatov Gábor nem adott utasítást, hogy Ricardó Moniz Fradi-edzőt bántalmazzák.";;;;1
374;3;1,2 milliárdos offshore számlát találtak Szabó Zsolt államtitkár kezében ;https://alfahir.hu/2018/03/23/szabo_zsolt_offshore_fidesz_belize_hatvan_sneider_tamas;2018/03/23;06:30;Valótlanul állítottunk, híreszteltünk korábbi cikkünkben, hogy Szabó Zsolt államtitkár és felesége áll a Joy World Enterprise Lmiited cég mögött, melynek Belize-i számláján több, mint 1,2 milliárd forint van. A nevezett cég nem áll Szabó Zsolt államtitkár és felesége - sem közvetett, sem közvetlen - irányítása alatt.;;;;1
375;3;Távozik az agrárminiszter, akinek az ideje alatt a legsúlyosabb hibákat követték el a magyar vidékkel szemben ;https://alfahir.hu/2018/01/16/fazekas_sandor_magyar_zoltan_lukacs_laszlo_gyorgy_2018_as_valasztasok_fidesz_jobbik;2018/01/16;15:34;2018. január 16. napján a Távozik az agrárminiszter, akinek az ideje alatt a legsúlyosabb hibákat követték el a magyar vidékkel szemben című cikkünkben valótlanul állítottuk, hogy Fazekas Sándor volt TSZ-jogász. Ezzel szemben a Karcagi Gépgyár jogtanácsosa volt a rendszerváltás előtt, pályakezdőként.;https://alfahir.hu/2018/02/12/helyreigazitas;2018/02/12;13:29;1
376;3;Uniós pénzek hasznosítása Fidesz-módon;;2017/01/27;;2017.01.27-én közzétett „Uniós pénzek hasznosítása Fidesz-módon” című riportunkban valótlanul állítottuk, hogy uniós pénzből 600.000.- forintba került a 200.000.- forintos kemence, továbbá valótlanul állítottuk, hogy az szakemberek szerint maximum 180.000.- forintba kerülhetett, a valóság az, hogy a kemence értéke igazságügyi szakértő által megállapítottan 600.000.- forint körüli. És valótlanul állítottuk, hogy a Zöld Alma Ház „mintha egy kicsit túl lett volna árazva”. A fenti valótlan közlések miatt minden érintettől elnézést kérünk.;https://alfahir.hu/2017/12/18/helyreigazitas;2017/12/18;09:10;1
377;3;Nyomoznak a fideszes képviselő családi cégei ellen ;https://alfahir.hu/2017/10/27/fidesz_varga_gabor_simonka_gyorgy_polt_peter_lmp_hadhazy_akos_nyomozas;2017/10/27;08:39;"Fenti cikkünkben valótlanul állítottuk, hogy nyomoznak Varga Gábor fideszes képviselő családi cégei ellen, továbbá valótlanul híreszteltük, hogy a Varga Gábor fideszes képviselő családja érdekeltségébe tartozó cégek tevékenységét az ügyészség büntetőeljárás keretében vizsgálja.
 
Valótlanul állítottuk továbbá, hogy 80 millió forintos uniós és állami támogatásból egy nyúltelep került létrehozásra, azt a valós tényt pedig, hogy Varga Gábor fideszes képviselő családi cégei 80 millió forintos uniós és állami támogatásból hoztak létre nyúltelepeket, abban a hamis színben tüntettük fel, hogy a nyúltelepen nem található egy nyúl sem.
 
A valóság ezzel szemben a következő: az RTL egy teljesen más területen található nyúltelepet mutatott be, nem azt amelyiket uniós támogatásból hoztak létre.";;;;1
378;3;Kilométerenként 2,8 milliárd forintba kerül majd a hódmezővásárhelyi elkerülő út ;https://alfahir.hu/2017/09/28/hodmezovasarhely_elkerulo_ut_lazar_janos_fidesz_nemzeti_infrastruktura_fejleszto;2017/09/28;21:04;"A Nemzeti Infrastruktúra Fejlesztő Zrt. visszautasítja a sajtóban megjelent valótlan állításokat, amelyek szerint a 47-es főút Hódmezővásárhelyt északi irányból elkerülő útszakaszának költségei indokolatlanul magasak volnának. A NIF Zrt. nyomatékosan felhívja a figyelmet arra, hogy két különböző domborzati viszonyok között, eltérő ütemezésben és műszaki tartalommal megvalósuló beruházás leegyszerűsítő összevetése szükségképpen téves következtetések levonásához vezet.
 
A kérdéses fejlesztés költségei mindenben megfelelnek a beruházás műszaki paramétereinek, azokat a teljesítendő feladat sajátosságai (geotechnikai adottságok, a csomópontok száma, a beépített műtárgyak mérete és összetettsége, a végcsomóponti nagyműtárgy speciális kialakítása, a földmunka mennyisége, az elkészülő úttest 110 km/h vonalvezetése) alapvetően meghatározzák.
 
A szakaszon egyebek mellett a 45. sz. főútnál külön szintű csomópont, egy már 2x2 sávos méretű nyílással rendelkező felüljáró, a Szentesi vasútvonal felett híd, a végcsomópontnál pedig egyedi hídszerkezetből álló, 30 m külső sugarú körhíd (nagyműtárgy), valamint egy kerékpáros aluljáró is épül.
 
Az új úttest külön szintű csomópontban találkozik a 45. sz. főúttal, ahol két db körforgalom kerül kialakításra, két db körforgalommal kapcsolódik alárendelt úttestekhez, a fentiekben részletezett 30 m külső sugarú körhíddal válik el a 47-es főúttól, de ezeken kívül egy járműosztályozós és egy „T” csomópont is kialakításra kerül.
 
A beruházás során több, mint 1.000.000 m3 föld megmozgatására került sor a talajkezelés, töltésalapozás és töltésépítés során, az úttesten 8600 m2 burkolati jelet festenek fel, 100 db útburkolati prizmát, 460 db KRESZ táblát, és több mint 24 km szalagkorlátot telepítenek. Az úttesthez kapcsolódóan 440.000 m2-en került sor füvesítésre, 820 fát és 130.000 cserjét ültetnek.
 
A NIF Zrt. ismételten szeretné felhívni a figyelmet arra, hogy súlyosan félrevezető és ezért értelmetlen eltérő komplexitású beruházások költségeit egy kilométerre leosztva összehasonlítani. A fentiekben részletezett jellegzetességekkel bíró beruházás adatai semmiképpen nem mérhetőek egybe egy olyan elkerülő út kiadásaival, ahol a lényegesen kedvezőbb terep- és talajadottságok miatt fajlagosan kevesebb földmunkára és mindösszesen egy darab csatornaátjáró beépítésére van szükség.";;;;1
379;3;Hiába az MSZP-Fidesz nagykoalíció, a Jobbik tovább próbálkozik ;https://alfahir.hu/2017/09/15/koztisztviselok_jobbik_hegedus_lorantne_berunio_rogan_antal;2017/09/15;13:02;"2017. szeptember 15. napján ""Hiába az MSZP-Fidesz nagykoalíció, a Jobbik tovább próbálkozik"" címen közzétett cikkünkben valótlanul állítottuk, hogy ""a Rogán Antal vezette propagandaminisztérium csak 2016. október 1. és 2017. június 30. között 15.574.895.457 forint értékben kötött keretszerződést propaganda kifejtésére Rogán Antal pasa parki szomszédja, Csetényi Csaba egyik cégével (New Land Media Kft-vel)"".

A fentiekkel ellentétben a valósag az, hogy a New Land Media Kft. nem Csetényi Csaba cége, annak Csetényi Csaba nem tulajdonosa, ahhoz semmi köze. A New Land Media Kft., így a fenti ídőszakban Csetényi Csaba révén, a Miniszterelnöki Kabinetirodával nem kötött a cikkben írt összegre vonatkozóan keretszerződést. 

A tévedésért elnézést kérünk.";https://alfahir.hu/2017/09/25/helyreigazitas;2017/09/25;12:17;1
380;3;Az unió fizette, mégis beszedték a lakosoktól a pénzt ;https://alfahir.hu/2017/07/05/kaposvar_unios_penzek_jobbik_hegedus_lorantne;2017/07/05;18:47;Honlapunkon valótlanul állítottuk, hogy egy kaposvári szennyvízberuházásra feleslegesen szedtek be több mint ezer ingatlantulajdonostól pénzt, s emiatt aláírásgyűjtésbe fogtak a város polgárai. A valóság ezzel szemben az, hogy a sérelmezett szennyvízberuházás és a vele szemben indult aláírásgyűjtés Nagybajomban történt. Hibánkért a kaposvári önkormányzattól, és minden kaposváritól elnézést kérünk.;;;;1
381;3;A Fidesz-közeli rabló-holdudvar kannibálként emészti el Rogán szomszédját ;https://alfahir.hu/2017/05/26/csetenyi_csaba_habony_arpad_meszaros_lorinc_andy_vajna_network_360_media_rogan_antal;2017/05/26;11:04;"

2017. május 26. napján a ""Fidesz-közeli rabló-holdudvar kannibálként emészti emészti el Rogán szomszédját"" címen közzétett cikkünkben nem felel meg a valóságnak az az állításunk, hogy ""A New Land-et Balásy Gyula és Mamusits Péter gardírozza...""

A fentiekkel ellentétben a valóság az, hogy Mamusits Péternek semmilyen kapcsolata nincs a New Land Media Kft-vel.

A tévedésért elnézést kérünk.
";https://alfahir.hu/2017/06/19/helyreigazitas;2017/06/19;10:30;0
382;42;Tip-top sportpályák lepik el a sötét Szabolcsot;https://abcug.hu/tip-top-sportpalyak-lepik-el-sotet-szabolcsot/;2016/11/02;10:45;"2016. november 2-án megjelent, “Tip-top sportpályák lepik el a sötét Szabolcsot” című cikkünkben valótlanul híreszteltük, hogy a nyírbogáti önkormányzatnál – hiába kérik el – nem adják oda mindenkinek a kulcsot.

Ugyanebben a cikkünkben valótlanul híreszteltük, hogy a nyírbogáti focicsapat fele alkoholista, illetve, hogy alig tudnak felmenni a műfüves pályára.

Ugyanebben a cikkünkben jogtalanul, hozzájárulás nélkül tettük közzé a Beri Editről és kisfiáról, Beri Martinról készült felvételt, cikkünkkel megsértettük Beri Edit és kisfia képmáshoz való jogát, jóhírnevét és becsületét, melyért ezúton is elnézést kérünk. ";https://abcug.hu/helyreigazitas-3/;2016/12/06;09:48;0
383;27;A Jobbik Putyin támogatási listáján;https://www.magyaridok.hu/belfold/a-jobbik-putyin-tamogatasi-listajan-305686/;2016/01/18;15:11;A portálunkon 2016. január hó 18-án „a jobbik Putyin támogatási listáján” címmel megjelent cikkben valótlanul híreszteltük, hogy Oroszország anyagi támogatást nyújtana a Jobbik Magyarországért Mozgalom számára, továbbá valótlanul híreszteltük azt is, hogy a Jobbik Magyarországért Mozgalom máés európai pártokkal együtt 9 millió eurós orosz banki kölcsönben részesült. A valóság ezzel szemben az, hogy a Jobbik Magyarországért Mozgalom nem kapott a cikkben említett támogatást és bankkölcsönt. ;https://www.magyaridok.hu/belfold/helyreigazitas-1892380/;2017/10/03;14:42;1
384;3;A független, az álfüggetlen, meg a Jobbik;https://alfahir.hu/a_fuggetlen_az_alfuggetlen_meg_a_jobbik;2016/01/16;13:51;A Hajdú-bihari Napló cikkünk megírása után jelezte: a lap Sóvágó László polgármesterrel készült interjúja már jóval a kampány kezdete előtt, november elején jelent meg, s valójában nem az interjú idézte a Fidesz által támogatott jelöltet, Görög Csabát, hanem éppen fordítva, ő idézte molinóján a polgármester Naplónak adott interjúját. A hibáért elnézést kérünk!;;;;1
385;3;Habony Árpád Ibizán partizott egy kőkeményet ;https://alfahir.hu/habony_arpad_ibizan_partizott_egy_kokemenyet;2015/12/08;13:46;"Internetes oldalunkon 2015. december 08. napján megjelent ""Habony Árpád Ibizán partizott egy kőkeményet"" című cikk állítása nem felel meg a valóságnak. A cikkben valótlanul közöltük tényként, hogy a csapból is kokain folyik, a falról meg kurvák potyognak.

Ezzel szemben a valóság az, hogy a Heart Ibiza éttermében nem prostituáltak, hanem a Cirque de Soleil társulat művészei lépnek fel és a helyen nincs kokainfogyasztás.";https://alfahir.hu/nem_potyognak_kurvak_a_falrol_az_ibizai_etteremben_ahol_habony_bulizott;2016/01/08;15:54;0
386;3;Ez nem az ibizai diszkó, hanem a Fidesz promó videója ;https://alfahir.hu/ez_nem_az_ibizai_diszko_hanem_a_fidesz_promo_videoja;2015/12/09;14:40;"Internetes oldalunkon 2015. december 09. napján megjelent ""Ez nem az ibizai diszkó, hanem a fideszpromó videója"" című cikk állítása szintén nem felel meg a valóságnak. Ezen cikkben is valótlanul közöltük tényként, hogy a csapból is kokain folyik, a falról meg kurvák potyognak és a hely egy közismert drogdiszkó.

Ezzel szemben a valóság az, hogy a HeartIbiza étteremében a Cirque de Soleil társulat művészei lépnek fel és a helyen nincs kokainfogyasztás.";https://alfahir.hu/nem_potyognak_kurvak_a_falrol_az_ibizai_etteremben_ahol_habony_bulizott;2016/01/08;15:54;0
387;8;Cink: Kemény állításokat tesz egy diák a HÖK-vezetőkről;http://hvg.hu/itthon/20130301_HOKbotrany_fenyegetesrol_elcsalt_penzekr;2013/03/01;10:30;"A portálunkon 2013. március 1-jén ""Cink: Kemény állításokat tesz egy diák a HÖK-vezetőkről"" című cikken keresztül elérhető a www.cink.hu-n „Szávay pénzért vasaltatott, elcsalta a diplomamunkáját – Egy kiábrándult hallgató levele az egyetemi politikáról” címmel megjelent írásban valótlan közlés volt, hogy Szávay István elcsalta diplomamunkáját. Valótlanul jelent meg továbbá, hogy

- korábban azt mondta, nem veszítheti el az ELTE-t, mert nem kap listás helyet a 2010-es választásokon a Jobbiktól;
- vagyonnyilatkozat elkészítése helyett a HÖK elnökeként annak gyanánt üres papírokat adott le borítékban;
- a Hallgatói Önkormányzat elnökségi tagjaival intéztette el lakóhelye önkormányzati ügyeit;
- a diplomamunkáját nem maga írta, és ez ki is derült az államvizsgán, azt sem tudta, hogy a szakdolgozata milyen forrásokból készült, a szakdolgozata elcsalt volt;
- pénzért íratta a kollégiumban a dolgozatait;
- csak azért vette fel a román szakot az egyetemen, hogy megtarthassa hallgatói jogviszonyát és tovább HÖK-özhessen;
- a Hallgatói Önkormányzat elnökének megválasztásakor a szavazásra jogosultaknak az általa támogatott jelöltre leadott szavazatokért cserébe pozíciókat ígért, illetve megfenyegetett másokat;
- az ELTE BTK HÖK elnökeként közpénzekből pártot gründolt.

A valótlan állításokat tartalmazó írás elérhetővé tételéért Szávay István úr elnézését kérjük!";https://hvg.hu/itthon/20140806_Helyreigazitas;2014/08/06;14:00;1
388;3;Megúszhatja a Lehel úti bankrobbantó ;https://alfahir.hu/meguszhatja_a_lehel_uti_bankrobbanto;2014/05/27;10:05;"A 2014. május 27-én közzétett ""Megúszhatja a Lehel úti bankrobbantó"" című cikkünkben (a Blikk információira hivatkozva) tévesen állítottuk, hogy a Lehel úti pokolgépes támadás után életre hívott nyomozócsoport tagjai már nem keresik az elkövetőt. A valóság ezzel szemben az, hogy a 2014. január 13-án 4 óra 18 perc körüli időben a Budapest XIII. kerületi Lehel úti pénzintézetnél robbantás módszerével elkövetett bűncselekmény elkövetőjét a nyomozócsoport tagjai továbbra is keresik, az eljárás robbanóanyaggal való visszaélés és közveszély okozása bűntettek elkövetésének gyanúja miatt, ismeretlen tettes ellen folyamatban van. A Blikk ugyancsak valótlanul állította, hogy a lapnak nyilatkozott az ügyben eljáró egyik nyomozó. A valóság ezzel szemben az, hogy egyetlen, az ügyben eljáró nyomozó sem nyilatkozott a Blikknek, és az ügyben eljárt nyomozónak tulajdonított állítások valójában nem az ügyben nyomozóként eljáró személyektől származik. ";https://alfahir.hu/helyreigazitas_0;2014/07/24;15:24;1
389;43;„Szávay pénzért vasaltatott, elcsalta a diplomamunkáját – Egy kiábrándult hallgató levele az egyetemi politikáról;http://cink.hu/szavay-penzert-vasaltatott-elcsalta-a-diplomamunkajat-450612534;2013/02/28;15:39;"A portálunkon 2013. február 28-án „Szávay pénzért vasaltatott, elcsalta a diplomamunkáját – Egy kiábrándult hallgató levele az egyetemi politikáról” címmel megjelent olvasói levél közlésével valótlanul híreszteltük Szávay István úrról, hogy

- elcsalta a diplomamunkáját; továbbá valótlanul híreszteltük róla, hogy
- korábban azt mondta, nem veszítheti el az ELTÉ-t, mert nem kap listás helyet a 2010-es választásokon a Jobbiktól;
- vagyonnyilatkozat elkészítése helyett a HÖK elnökeként annak gyanánt üres papírokat adott le borítékban;
- a Hallgatói Önkormányzat elnökségi tagjaival intéztette el lakóhelye önkormányzati ügyeit;
- a diplomamunkáját nem maga írta, és ez ki is derült az államvizsgán, azt sem tudta, hogy a szakdolgozata milyen forrásokból készült, a szakdolgozata elcsalt volt;
- pénzért íratta a kollégiumban a dolgozatait;
- csak azért vette fel a román szakot az egyetemen, hogy megtarthassa hallgatói jogviszonyát és tovább höközhessen;
- a Hallgatói Önkormányzat elnökének megválasztásakor a szavazásra jogosultaknak az általa támogatott jelöltre leadott szavazatokért cserébe pozíciókat ígért, illetve megfenyegetett másokat;
- az ELTE BTK HÖK elnökeként közpénzekből pártot gründolt.

A valótlan állítások híreszteléséért Szávay István úr elnézését kérjük!";https://cink.hu/helyreigazitas-1589391199;2014/06/14;11:01;
390;3;Jobbik: Balogh István nem tisztázta a Gyermekrák Alapítvány „viselt dolgait”;https://alfahir.hu/jobbik_balogh_istvan_nem_tisztazta_a_gyermekrak_alapitvany_viselt_dolgait;2014/01/29;12:08;"2014. január 29. napján „Jobbik: Balogh István nem tisztázta a Gyermekrák Alapítvány „viselt dolgait” megjelent cikkünkben:

Valótlanul híreszteltük azt, hogy Balogh István szavai és a valós tények között szakadék méretű különbség tátongana.

A valóság ezzel szemben az, hogy Balogh István szavai és a valós tények ugyanazok, tehát nincs „szakadék méretű különbség” a kettő között.

Valótlanul híreszteltük azt, hogy a Gyermekrák Alapítvány működése során befolyt forrásokból nem kevesebb, mint 1,7 milliárd forint hiányzik, a végső összeg minden bizonnyal meghaladja a 2 milliárd forintot is, valamint, hogy az első évek adatai hiányosak.

Valótlanul híreszteltük azt, hogy egyetlen család sem járt volna az Alapítvány veszprémi pihenő házában.

A valóság ezzel szemben az, hogy 2013. augusztus 18-25. között – amikorra az ingatlan elkészült – egy beteg gyermek és családja pihent az ingatlanban.

Valótlanul híreszteltük azt, hogy a betegek hiába fordultak a szükséges anyagi források – akár kölcsönbe történő – biztosítása céljából a Gyermekrák Alapítványhoz.

A valóság ezzel szemben az, hogy az Alapítványnak nincs jogosítványa kölcsön nyújtására és ilyen kérés soha nem is érkezett az Alapítványhoz.

Valótlanul híreszteltük azt, hogy a leukémiás megbetegedésben szenvedő, 15 éves erdélyi magyar Medve Kálmán azért hunyt el mert – bár az életmentő csontvelő átültetéséhez minden adott volt – a Gyermekrák Alapítvány ahhoz nem nyújtott segítséget.

A valóság ezzel szemben az, hogy 2005-ben Medve Kálmán szülei kérésére a Gyermekrák Alapítvány felvette a kapcsolatot a román Egészségügyi Minisztériummal, ahonnan a gyermek gyógykezelésére az Alapítvány kérését figyelembe véve 20.000 Eurót utaltak át a gyermeket kezelő egészségügyi intézménynek. Az Alapítvány a szülők kérésére több esetben készpénzes támogatást is biztosított, ezzel kapcsolatban az Alapítvány birtokában van a szülők köszönő levele is.

Valótlanul híreszteltük azt, mintha a leukémiában szenvedő 17 éves Török Noémi 2003-ban megtörtént esetéhez a Gyermekrák Alapítvány bármilyen módon kapcsolódna.

A valóság ezzel szemben az, hogy Török Noémi nem fordult semmilyen kéréssel a Gyermekrák Alapítványhoz, így ezen esetet példaként az Alapítvánnyal kapcsolatban említeni a valóságot hamis színben tünteti fel.

2014. február 11. napján megjelent „Hiába kért támogatást a Gyermekrák Alapítványtól a Tűzoltó utcai klinika” című cikkünkben

Valótlanul állítottuk azt, hogy a Gyermekrák Alapítványnak állami támogatásokból is jelentős bevételei vannak.

A valóság ezzel szemben az, hogy a Gyermekrák Alapítványnak állami támogatásból semmilyen bevétele nincs.

Valótlanul híreszteltük azt, hogy Balogh István sokadszorra keveredik ellentmondásba a tényekkel.

A valóság ezzel szemben az, hogy Balogh István nem keveredett semmilyen ellentmondásba a tényekkel, ami a Gyermekrák Alapítvány sajtótájékoztatóján tőle elhangzott az a tényeknek megfelelő valóság.

Valótlanul állítottuk azt, hogy korábban Balogh István az index.hu megkeresésére azt állította, hogy ingyenesen látja el az alapítvány vezetését, majd később elismerte, hogy nettó 534 ezer forint havi tiszteletdíjat vesz fel ezért.

A valóság ezzel szembe az, hogy Balogh István soha nem nyilatkozta azt, hogy ingyenesen látja el a kuratóriumi elnöki feladatokat, valójában azt mondta, hogy a kezdeti években nem vette fel a tiszteletdíjat. Balogh István azt mondta továbbá, hogy a jelenlegi tiszteletdíja 523.000,- Ft, de a sajtótájékoztatón pontosította, hogy annak összege 504.000,- Ft.

Valótlanul állítottuk azt, hogy az is bizonyosságot nyert, hogy a Gyermekrák Alapítvány elnöke az alapítvány mentőjével furikáztatja magát a városban.

A valóság ezzel szemben az, hogy soha nem nyert bizonyosságot miszerint Balogh István magáncélra használja az Alapítvány mentőjét.";https://alfahir.hu/helyreigazitas;2014/03/11;11:49;0
391;3;Drága mulatság a társadalmi felzárkóztatás ;https://alfahir.hu/draga_mulatsag_a_tarsadalmi_felzarkoztatas;2013/10/02;16:09;"1. Valótlan az alábbi állítás: „A cég vezetője Palicz Tamás”. A Paltam MD Bt cég vezetője nem Dr. Palicz Tamás. A nyilvános közhiteles cégadatok szerint a cég képviseletére jogosult Dr. Palicz Gabriella, aki a Bt beltagja 2010. júliusa óta. Ez az http://www.e-cegjegyzek.hu/index.html oldalon, a közhiteles, nyilvános adatbázisban ellenőrizhető.

2. Valótlan az alábbi állítás: ”aki egyben a Nemzeti Fejlesztési Ügynökség Humán Erőforrás Programok Irányító Hatóságának főigazgatója”. A hivatkozott időszakban semmilyen jogviszonnyal nem rendelkeztem az NFÜ-vel. 2012. november 23-át követően saját kezdeményezésemre, közös megegyezéssel megszűnt a főigazgatói megbízásom a Humánerőforrás Programok Irányító Hatóságánál, míg 2013. május 14-ét követően semmilyen jogi kapcsolatban (munkaviszony, szerződés, stb) nem álltam az NFÜ-vel!

3. Valótlan az alábbi állítás: „A szóban forgó Bt.-t egyébként két hónappal a választások után, 2010 júliusában jegyezték be.” A Bt-t nem 2010. júliusában jegyezték be, hanem 2000. óta működik. 2010. júliusában a beltag személye változott, és a cég korábbi elnevezése változott meg.

A tévesztésekért az érintett felek és olvasóink szíves elnézését kérjük.";;;;1
392;3;Rogán 120 milliós megbízást adott a szomszédjának;;2011/12/02;;"A 2011. december 2. napján közzétett ’Rogán 120 milliós megbízást adott a szomszédjának’ című írásunk címében valótlanul állítottuk, hogy Rogán Antal megbízta saját szomszédját 120 millióért. Ehhez képest a valóság az, hogy Rogán Antal Belváros-Lipótváros Önkormányzatának polgármestere ilyen megbízási szerződést nem kötött.

Továbbá azt a valós tényt, hogy a Belváros-Lipótváros Önkormányzat által kiírt tenderen a Hamu és Gyémánt Kft. lett az első helyezett, abban a hamis színben tüntettük fel, hogy erre azért került sor, mert Csetényi Csaba, a Hamu és Gyémánt Kft. egyik tulajdonosa, illetve Rogán Antal Belváros-Lipótváros Önkormányzatának polgármestere ugyanabban a II. kerületi társasházban lakik, illetve, hogy Csetényi Csaba szoros baráti kapcsolatot ápol a polgármesterrel.

A valóság ezzel szemben az, hogy a Belváros-Lipótváros Önkormányzata által kiírt tenderen a Hamu és Gyémánt Kft. egy nyílt közbeszerzési eljárás keretében lett első helyezett azért, mert a beadott pályázatok közül az ő pályázatuk felelt meg leginkább az elvárt követelményeknek. Ez semmilyen összefüggésben nem áll azzal, hogy Csetényi Csaba a Hamu és Gyémánt Kft. egyik tulajdonosa, illetve Rogán Antal Belváros-Lipótváros Önkormányzatának polgármestere egy társasházban lakik, illetve ebből kifolyólag személyesen ismeri egymást.";https://alfahir.hu/helyreigazitas-20120217;2012/02/17;10:40;
393;44;Mirkóczki bevándorlókat telepítene az egri laktanyába;https://egerhirek.hu/2019/09/06/bevandorlokat-telepitene-mirkoczki-az-egri-laktanyaba;2019/09/06;18:43;A portálunkon 2019. szeptember 6-án „Mirkóczki bevándorlókat telepítene az egri laktanyába” címmel megjelent cikkben valótlanul állítottuk, hogy Mirkóczki Ádám bevándorlókat telepítene az egri laktanyába és bevándorlóknak adná az Egri Dobó István Laktanyát.;;2019/11/11;17:26;1
394;34;Ezt tanultuk a Jobbikról egy év leforgása alatt;https://888.hu/kinyilott-a-pitypang/ezt-tanultuk-a-jobbikrol-egy-ev-leforgasa-alatt-4068307/;2016/09/18;11:48;Az internetes portálunkon 2016. szeptember 18-án „Ezt tanultuk a Jobbikról egy év leforgása alatt” címmel megjelent cikkben valótlanul állítottuk, hogy Forrai Richárd a Jobbik Magyarországért Mozgalom parlamenti frakciójának, illetve pártalapítványának juttatott közpénzek egyharmadát saját cégeibe szervezi ki, vagy sokmilliós megrendeléseket ad ismerőseinek és barátoknak az általa tulajdonolt Iránytű Intézeten keresztül. A valóság ezzel szemben az, hogy Forrai Richárdnak sem a Jobbik pártfrakciójának, sem a pártalapítványának a gazdálkodása körében semmilyen döntési kompetenciája nincsen, és nem is volt, így nincs és nem is volt soha olyan helyzetben, hogy onnan bármilyen forrást kiszervezhessen. Az általa tulajdonolt Iránytű Intézeten keresztül pedig soha olyan megrendelést barátainak vagy ismerőseinek nem adott, melynek következtében utóbbiak akár csak közvetve bármilyen közpénzhez juthattak.;;;;1
